,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCES,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUN,AVG WORD LENGTH
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,76,34,0.38181817834710746,0.06001091104200168,26.12987012987013,0.30119284294234594,10.572425189124992,26.12987012987013,606,2012,1.859840954274354,39,5.1600397614314115
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,71,38,0.3027522908004377,0.07486263731122071,20.525,0.19549330085261876,8.288197320341046,20.525,321,1642,1.5426309378806333,37,4.302679658952497
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,74,38,0.3214285685586735,0.06447898672165861,22.55294117647059,0.27908189880020867,9.13280923010832,22.55294117647059,535,1917,1.8111632759520084,31,4.912363067292644
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,84,28,0.49999999553571434,0.06714628293336554,19.28421052631579,0.19978165938864628,7.793596874281774,19.28421052631579,366,1832,1.5813318777292575,74,4.4284934497816595
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,69,28,0.42268040801360407,0.053150684902383186,25.050632911392405,0.21020717534108135,10.104336034693397,25.050632911392405,416,1979,1.6437594744820616,36,4.612935826174835
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,54,23,0.40259739736886496,0.05703703699478738,23.296875,0.21260898725687458,9.40379359490275,23.296875,317,1491,1.625083836351442,17,4.498993963782696
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,28,12,0.39999999000000025,0.052840158450673504,18.68888888888889,0.2140309155766944,7.561167921786233,18.68888888888889,180,841,1.6302021403091558,14,4.564803804994055
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,43,13,0.5357142761479594,0.07378129107538697,22.805555555555557,0.19366626065773446,9.199688726485318,22.805555555555557,159,821,1.5712545676004872,11,4.381242387332521
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,81,41,0.32786884977156683,0.054464285689971303,29.82716049382716,0.21978476821192053,12.018778104815633,29.82716049382716,531,2416,1.6519039735099337,87,4.508278145695364
10,47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,61,65,-0.03174603149407912,0.057931034456123666,23.048076923076923,0.2165206508135169,9.305839029556177,23.048076923076923,519,2397,1.5811430955360868,32,4.408427200667501
11,48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,46,22,0.3529411712802769,0.05643153522287839,22.551724137931036,0.2851681957186544,9.134756933459876,22.551724137931036,373,1308,1.8876146788990826,15,5.109327217125382
12,49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,42,28,0.19999999714285718,0.054137664304611234,17.414634146341463,0.21708683473389356,7.052688392430143,17.414634146341463,310,1428,1.5875350140056022,38,4.46078431372549
13,50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,73,24,0.5051546339674781,0.055396916016335285,29.253968253968253,0.20727075420510038,11.784495603269342,29.253968253968253,382,1843,1.6554530656538253,55,4.580032555615844
